Date,,,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
27-Sep-22,39.22,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2646,,19,,0.72%,₹ 39.22,39.22,,₹ 2.06,₹ 0.00,1,10.70%,9.35,₹ 366.66
27-Sep-22,32.82,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,918,,7,,0.76%,₹ 32.82,32.82,,₹ 4.69,₹ 0.00,0,0.00%,0,₹ 0.00
27-Sep-22,130.94,,No Portfolio,Sponsored Products,Sale,India,ARCHIVED,INR,₹ 250.00,Automatic targeting,Dynamic bids - down only,9999,,44,,0.44%,₹ 130.94,130.94,,₹ 2.98,₹ 0.00,4,9.01%,11.1,"₹ 1,453.33"
28-Sep-22,46.98,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2018,,20,,0.99%,₹ 46.98,46.98,,₹ 2.35,₹ 0.00,1,13.37%,7.48,₹ 351.43
28-Sep-22,110.48,,No Portfolio,Sponsored Products,Sale,India,ARCHIVED,INR,₹ 250.00,Automatic targeting,Dynamic bids - down only,9522,,35,,0.37%,₹ 110.48,110.48,,₹ 3.16,₹ 0.00,3,9.79%,10.22,"₹ 1,128.57"
28-Sep-22,30.72,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1010,,7,,0.69%,₹ 30.72,30.72,,₹ 4.39,₹ 0.00,0,0.00%,0,₹ 0.00
29-Sep-22,70.65,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2737,,28,,1.02%,₹ 70.65,70.65,,₹ 2.52,₹ 0.00,0,0.00%,0,₹ 0.00
29-Sep-22,149.23,,No Portfolio,Sponsored Products,Sale,India,ARCHIVED,INR,₹ 250.00,Automatic targeting,Dynamic bids - down only,7829,,48,,0.61%,₹ 149.23,149.23,,₹ 3.11,₹ 0.00,2,16.71%,5.99,₹ 893.33
29-Sep-22,36.42,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,896,,8,,0.89%,₹ 36.42,36.42,,₹ 4.55,₹ 0.00,0,0.00%,0,₹ 0.00
30-Sep-22,74.45,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,4670,,28,,0.60%,₹ 74.45,74.45,,₹ 2.66,₹ 0.00,0,0.00%,0,₹ 0.00
