Date,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
"Nov 11, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,27472,,57,,0.2070%,₹ 204.35,,₹ 3.59,₹ 0.00,0,0.0000%,0.0,₹ 0.00
"Nov 11, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,5979,,70,,1.1710%,₹ 151.31,,₹ 2.16,₹ 0.00,8,5.0090%,19.97,"₹ 3,020.95"
"Nov 12, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,16256,,45,,0.2770%,₹ 162.64,,₹ 3.61,₹ 0.00,3,14.2670%,7.01,"₹ 1,140.00"
"Nov 12, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,4449,,67,,1.5060%,₹ 149.10,,₹ 2.23,₹ 0.00,9,4.3400%,23.04,"₹ 3,435.24"
"Nov 13, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,20420,,72,,0.3530%,₹ 250.46,,₹ 3.48,₹ 0.00,3,21.9700%,4.55,"₹ 1,140.00"
"Nov 13, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,6535,,73,,1.1170%,₹ 165.04,,₹ 2.26,₹ 0.00,5,8.8430%,11.31,"₹ 1,866.31"
"Nov 14, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,18582,,74,,0.3980%,₹ 262.52,,₹ 3.55,₹ 0.00,1,69.0840%,1.45,₹ 380.00
"Nov 14, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,4790,,62,,1.2940%,₹ 138.34,,₹ 2.23,₹ 0.00,12,3.0440%,32.85,"₹ 4,544.76"
"Nov 15, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,18117,,58,,0.3200%,₹ 190.87,,₹ 3.29,₹ 0.00,2,25.1140%,3.98,₹ 760.00
"Nov 15, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,5349,,68,,1.2710%,₹ 146.52,,₹ 2.15,₹ 0.00,5,7.8860%,12.68,"₹ 1,858.09"
"Nov 16, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,24251,,66,,0.2720%,₹ 235.84,,₹ 3.57,₹ 0.00,5,12.4380%,8.04,"₹ 1,896.19"
"Nov 16, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,6355,,68,,1.0700%,₹ 154.07,,₹ 2.27,₹ 0.00,11,3.1590%,31.66,"₹ 4,877.74"
"Nov 17, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,24272,,69,,0.2840%,₹ 238.99,,₹ 3.46,₹ 0.00,3,20.6870%,4.83,"₹ 1,155.24"
"Nov 17, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,5208,,68,,1.3060%,₹ 150.48,,₹ 2.21,₹ 0.00,11,3.5740%,27.98,"₹ 4,210.48"
"Nov 18, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,20291,,69,,0.3400%,₹ 254.86,,₹ 3.69,₹ 0.00,2,33.2010%,3.01,₹ 767.62
"Nov 18, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,14155,,214,,1.5120%,₹ 446.95,,₹ 2.09,₹ 0.00,13,8.8700%,11.27,"₹ 5,039.06"
"Nov 19, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,16552,,61,,0.3690%,₹ 217.83,,₹ 3.57,₹ 0.00,3,18.9810%,5.27,"₹ 1,147.62"
"Nov 19, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,14199,,188,,1.3240%,₹ 417.83,,₹ 2.22,₹ 0.00,23,4.9720%,20.11,"₹ 8,403.82"
"Nov 20, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,14215,,54,,0.3800%,₹ 193.19,,₹ 3.58,₹ 0.00,1,50.8390%,1.97,₹ 380.00
"Nov 20, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,44966,,413,,0.9180%,₹ 858.94,,₹ 2.08,₹ 0.00,31,7.2450%,13.8,"₹ 11,856.20"
"Nov 21, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,15235,,52,,0.3410%,₹ 190.12,,₹ 3.66,₹ 0.00,3,24.7670%,4.04,₹ 767.62
